Instance,API_Endpoint,Error_Reason
dtp-mstdn.jp,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://dtp-mstdn.jp/api/v1/instance/privacy_policy
dtp-mstdn.jp,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://dtp-mstdn.jp/api/v1/instance/terms_of_service
dtp-mstdn.jp,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://dtp-mstdn.jp/api/v1/instance/translation_languages
duck.haus,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://duck.haus/api/v1/instance/domain_blocks
duck.haus,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://duck.haus/api/v1/instance/terms_of_service
elefant.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://elefant.social/api/v1/instance/domain_blocks
elefant.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://elefant.social/api/v1/instance/terms_of_service
elekk.xyz,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://elekk.xyz/api/v1/instance/domain_blocks
elekk.xyz,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://elekk.xyz/api/v1/instance/terms_of_service
eletusk.club,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://eletusk.club/api/v1/instance/domain_blocks
eletusk.club,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://eletusk.club/api/v1/instance/terms_of_service
elle.systems,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://elle.systems/api/v1/instance/domain_blocks
elle.systems,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://elle.systems/api/v1/instance/terms_of_service
embassy.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://embassy.social/api/v1/instance/domain_blocks
embassy.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://embassy.social/api/v1/instance/terms_of_service
en.osm.town,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://en.osm.town/api/v1/instance/terms_of_service
equestria.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://equestria.social/api/v1/instance/domain_blocks
equestria.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://equestria.social/api/v1/instance/terms_of_service
esperanto.masto.host,/api/v1/instance/peers,404 Client Error: Not Found for url: https://esperanto.masto.host/api/v1/instance/peers
esperanto.masto.host,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://esperanto.masto.host/api/v1/instance/terms_of_service
fedi.lynnesbian.space,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://fedi.lynnesbian.space/api/v1/instance/terms_of_service
ffxiv-mastodon.com,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://ffxiv-mastodon.com/api/v1/instance/domain_blocks
ffxiv-mastodon.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ffxiv-mastodon.com/api/v1/instance/terms_of_service
foresdon.jp,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://foresdon.jp/api/v1/instance/domain_blocks
foresdon.jp,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://foresdon.jp/api/v1/instance/terms_of_service
fosstodon.org,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://fosstodon.org/api/v1/instance/domain_blocks
fosstodon.org,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://fosstodon.org/api/v1/instance/terms_of_service
framapiaf.org,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://framapiaf.org/api/v1/instance/terms_of_service
friends.cafe,/api/v1/instance/peers,404 Client Error: Not Found for url: https://friends.cafe/api/v1/instance/peers
friends.cafe,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://friends.cafe/api/v1/instance/domain_blocks
friends.cafe,/api/v1/instance/extended_description,404 Client Error: Not Found for url: https://friends.cafe/api/v1/instance/extended_description
friends.cafe,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://friends.cafe/api/v1/instance/privacy_policy
friends.cafe,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://friends.cafe/api/v1/instance/terms_of_service
friends.cafe,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://friends.cafe/api/v1/instance/translation_languages
functional.cafe,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://functional.cafe/api/v1/instance/domain_blocks
functional.cafe,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://functional.cafe/api/v1/instance/terms_of_service
g0v.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://g0v.social/api/v1/instance/domain_blocks
gamelinks007.net,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://gamelinks007.net/api/v1/instance/domain_blocks
gingadon.com,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://gingadon.com/api/v1/instance/domain_blocks
gingadon.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://gingadon.com/api/v1/instance/terms_of_service
glaceon.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://glaceon.social/api/v1/instance/terms_of_service
glammr.us,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://glammr.us/api/v1/instance/domain_blocks
glammr.us,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://glammr.us/api/v1/instance/terms_of_service
godforsaken.website,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://godforsaken.website/api/v1/instance/domain_blocks
godforsaken.website,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://godforsaken.website/api/v1/instance/terms_of_service
